USD,TZS,Tanzanian Shilling,2166,3/1/2017,8:03:15
USD,UGX,Ugandan Shilling,3521.5,3/1/2017,8:03:15
USD,UYU,Uruguayan Nuevo Peso,26.766,3/1/2017,8:03:15
USD,UZS,Uzbekistan Sum,7723.57,3/1/2017,8:03:15
USD,VND,Vietnamese Dong,21822,3/1/2017,8:03:15
USD,VUV,Vanuatu Vatu,100.76,3/1/2017,8:03:15
USD,WST,Samoan Tala,2.3321,3/1/2017,8:03:15
USD,XAF,CFA Franc,506.82,3/1/2017,8:03:15
USD,XCD,East Caribbean Dollar,2.5613,3/1/2017,8:03:15
USD,XOF,CFA Franc BCEAO,508.52,3/1/2017,8:03:15
USD,YER,Yemeni Rial,235.61,3/1/2017,8:03:15
USD,SVC,El Salvadorian Colon,8.574,3/1/2017,8:03:15
USD,PAB,Panamanian Balboa,0.9438,3/1/2017,8:03:15
USD,MZN,Mozambique New Metical,57.276,3/1/2017,8:03:15
USD,GHS,Ghanian Cedi,4.1736,3/1/2017,8:03:15
USD,VEF,Venezuelan Bolivar Fuerte,28348.95,3/1/2017,8:03:15
USD,RSD,Serbian Dinar,91.029,3/1/2017,8:03:15
USD,CNH,Chinese Renminbi Offshore HK,6.1285,3/1/2017,8:03:15
USD,USD,Zambia Kwacha,9.2398,3/1/2017,8:03:15
AUD,USD,Zambia Kwacha,0.798148296,3/1/2017,8:03:15
CAD,USD,Zambia Kwacha,0.799424414,3/1/2017,8:03:15
CHF,USD,Zambia Kwacha,1.083423619,3/1/2017,8:03:15
HUF,USD,Zambia Kwacha,0.00401671,3/1/2017,8:03:15
CZK,USD,Zambia Kwacha,0.049625329,3/1/2017,8:03:15
DKK,USD,Zambia Kwacha,0.167602447,3/1/2017,8:03:15
EUR,USD,Zambia Kwacha,1.24750499,3/1/2017,8:03:15
FJD,USD,Zambia Kwacha,0.515224896,3/1/2017,8:03:15
GBP,USD,Zambia Kwacha,1.411034288,3/1/2017,8:03:15
HKD,USD,Zambia Kwacha,0.131094244,3/1/2017,8:03:15
MYR,USD,Zambia Kwacha,0.268846112,3/1/2017,8:03:15
JPY,USD,Zambia Kwacha,0.009546539,3/1/2017,8:03:15
MXN,USD,Zambia Kwacha,0.05475108,3/1/2017,8:03:15
NOK,USD,Zambia Kwacha,0.12987519,3/1/2017,8:03:15
NZD,USD,Zambia Kwacha,0.737680732,3/1/2017,8:03:15
SEK,USD,Zambia Kwacha,0.123652191,3/1/2017,8:03:15
SGD,USD,Zambia Kwacha,7.76E-01,3/1/2017,8:03:15
THB,USD,Zambia Kwacha,0.032679739,3/1/2017,8:03:15
TND,USD,Zambia Kwacha,0.434707007,3/1/2017,8:03:15
XPF,USD,Zambia Kwacha,0.010708667,3/1/2017,8:03:15
ZAR,USD,Zambia Kwacha,0.087317942,3/1/2017,8:03:15
CNY,USD,Zambia Kwacha,0.16754067,3/1/2017,8:03:15
BWP,USD,Zambia Kwacha,0.109592644,3/1/2017,8:03:15
MVR,USD,Zambia Kwacha,0.068399453,3/1/2017,8:03:15
MWK,USD,Zambia Kwacha,0.001463679,3/1/2017,8:03:15
ECS,USD,Zambia Kwacha,4.10E-05,3/1/2017,8:03:15
EGP,USD,Zambia Kwacha,0.05958847,3/1/2017,8:03:15
IDR,USD,Zambia Kwacha,7.54E-05,3/1/2017,8:03:15
ILS,USD,Zambia Kwacha,2.97E-01,3/1/2017,8:03:15
INR,USD,Zambia Kwacha,1.60E-02,3/1/2017,8:03:15
ISK,USD,Zambia Kwacha,1.06E-02,3/1/2017,8:03:15
ALL,USD,Zambia Kwacha,9.99E-03,3/1/2017,8:03:15
KRW,USD,Zambia Kwacha,0.000974374,3/1/2017,8:03:15
MAD,USD,Zambia Kwacha,0.112262425,3/1/2017,8:03:15
AMD,USD,Zambia Kwacha,0.002195052,3/1/2017,8:03:15
SCR,USD,Zambia Kwacha,0.080793717,3/1/2017,8:03:15
ANG,USD,Zambia Kwacha,0.601467581,3/1/2017,8:03:15
AED,USD,Zambia Kwacha,2.81E-01,3/1/2017,8:03:15
SAR,USD,Zambia Kwacha,0.275603572,3/1/2017,8:03:15
MUR,USD,Zambia Kwacha,0.031094527,3/1/2017,8:03:15
TRY,USD,Zambia Kwacha,0.272249598,3/1/2017,8:03:15
AOA,USD,Zambia Kwacha,0.005107685,3/1/2017,8:03:15
ARS,USD,Zambia Kwacha,0.053165472,3/1/2017,8:03:15
AWG,USD,Zambia Kwacha,0.576501787,3/1/2017,8:03:15
AZN,USD,Zambia Kwacha,0.625117209,3/1/2017,8:03:15
BHD,USD,Zambia Kwacha,2.740476843,3/1/2017,8:03:15
BAM,USD,Zambia Kwacha,0.662076271,3/1/2017,8:03:15
BBD,USD,Zambia Kwacha,0.52759312,3/1/2017,8:03:15
BDT,USD,Zambia Kwacha,0.012440937,3/1/2017,8:03:15
BGN,USD,Zambia Kwacha,0.664849412,3/1/2017,8:03:15
CLP,USD,Zambia Kwacha,0.001802451,3/1/2017,8:03:15
BIF,USD,Zambia Kwacha,0.000597693,3/1/2017,8:03:15
BMD,USD,Zambia Kwacha,1.059546514,3/1/2017,8:03:15
BND,USD,Zambia Kwacha,0.803212851,3/1/2017,8:03:15
BOB,USD,Zambia Kwacha,0.154454467,3/1/2017,8:03:15
BRL,USD,Zambia Kwacha,0.33020737,3/1/2017,8:03:15
BSD,USD,Zambia Kwacha,1.059546514,3/1/2017,8:03:15
BTN,USD,Zambia Kwacha,1.63E-02,3/1/2017,8:03:15
KWD,USD,Zambia Kwacha,3.454947485,3/1/2017,8:03:15
BZD,USD,Zambia Kwacha,0.523067266,3/1/2017,8:03:15
OMR,USD,Zambia Kwacha,2.686078057,3/1/2017,8:03:15
PKR,USD,Zambia Kwacha,0.009378725,3/1/2017,8:03:15
CDF,USD,Zambia Kwacha,0.000640156,3/1/2017,8:03:15
COP,USD,Zambia Kwacha,0.000370835,3/1/2017,8:03:15
CRC,USD,Zambia Kwacha,0.001848292,3/1/2017,8:03:15
QAR,USD,Zambia Kwacha,0.283937647,3/1/2017,8:03:15
CUP,USD,Zambia Kwacha,1.020408163,3/1/2017,8:03:15
CVE,USD,Zambia Kwacha,0.011770245,3/1/2017,8:03:15
DJF,USD,Zambia Kwacha,0.006006006,3/1/2017,8:03:15
DOP,USD,Zambia Kwacha,0.021408692,3/1/2017,8:03:15
DZD,USD,Zambia Kwacha,0.00918839,3/1/2017,8:03:15
ERN,USD,Zambia Kwacha,0.072516316,3/1/2017,8:03:15
JOD,USD,Zambia Kwacha,1.459427904,3/1/2017,8:03:15
KES,USD,Zambia Kwacha,0.01021868,3/1/2017,8:03:15
ETB,USD,Zambia Kwacha,0.038071597,3/1/2017,8:03:15
GEL,USD,Zambia Kwacha,0.429608627,3/1/2017,8:03:15
GMD,USD,Zambia Kwacha,0.023191095,3/1/2017,8:03:15
GNF,USD,Zambia Kwacha,0.000120831,3/1/2017,8:03:15
GTQ,USD,Zambia Kwacha,0.143862123,3/1/2017,8:03:15
